(-3, 19, -45), [6, 1, 0], 3.9.ad_t_abt 
(-3, 19, -39), [6, 1, 6], 3.9.ad_t_abn 
(-3, 19, -36), [6, 1, 0], 3.9.ad_t_abk 
(-3, 22, -42), [6, 4, 3], 3.9.ad_w_abq 
(-3, 23, -45), [6, 5, 0], 3.9.ad_x_abt 
(-3, 25, -51), [6, 7, 3], 3.9.ad_z_abz 
(-2, -8, 36), [7, 1, 0], 3.9.ac_ai_bk 
(-2, -7, 30), [7, 2, 3], 3.9.ac_ah_be 
(-2, -7, 33), [7, 2, 6], 3.9.ac_ah_bh 
(-2, -7, 36), [7, 2, 0], 3.9.ac_ah_bk 
(-2, -7, 45), [7, 2, 0], 3.9.ac_ah_bt 
(-2, -5, 24), [7, 4, 6], 3.9.ac_af_y 
(-2, -5, 27), [7, 4, 0], 3.9.ac_af_bb 
(-2, -5, 30), [7, 4, 3], 3.9.ac_af_be 
(-2, -5, 36), [7, 4, 0], 3.9.ac_af_bk 
(-2, -5, 45), [7, 4, 0], 3.9.ac_af_bt 
(-2, -5, 48), [7, 4, 3], 3.9.ac_af_bw 
(-2, -4, 12), [7, 5, 3], 3.9.ac_ae_m 
(-2, -4, 18), [7, 5, 0], 3.9.ac_ae_s 
(-2, -4, 24), [7, 5, 6], 3.9.ac_ae_y 
(-2, -4, 30), [7, 5, 3], 3.9.ac_ae_be 
(-2, -4, 36), [7, 5, 0], 3.9.ac_ae_bk 
(-2, -4, 42), [7, 5, 6], 3.9.ac_ae_bq 
(-2, -4, 54), [7, 5, 0], 3.9.ac_ae_cc 
(-2, -2, 0), [7, 7, 0], 3.9.ac_ac_a 
(-2, -2, 6), [7, 7, 6], 3.9.ac_ac_g 
(-2, -2, 18), [7, 7, 0], 3.9.ac_ac_s 
(-2, -2, 30), [7, 7, 3], 3.9.ac_ac_be 
(-2, -2, 36), [7, 7, 0], 3.9.ac_ac_bk 
(-2, -1, 0), [7, 8, 0], 3.9.ac_ab_a 
(-2, -1, 6), [7, 8, 6], 3.9.ac_ab_g 
(-2, -1, 9), [7, 8, 0], 3.9.ac_ab_j 
(-2, -1, 12), [7, 8, 3], 3.9.ac_ab_m 
(-2, -1, 18), [7, 8, 0], 3.9.ac_ab_s 
(-2, -1, 21), [7, 8, 3], 3.9.ac_ab_v 
(-2, -1, 24), [7, 8, 6], 3.9.ac_ab_y 
(-2, -1, 27), [7, 8, 0], 3.9.ac_ab_bb 
(-2, -1, 30), [7, 8, 3], 3.9.ac_ab_be 
(-2, -1, 36), [7, 8, 0], 3.9.ac_ab_bk 
(-2, 1, -18), [7, 1, 0], 3.9.ac_b_as 
(-2, 1, -6), [7, 1, 3], 3.9.ac_b_ag 
(-2, 1, 0), [7, 1, 0], 3.9.ac_b_a 
(-2, 1, 12), [7, 1, 3], 3.9.ac_b_m 
(-2, 1, 18), [7, 1, 0], 3.9.ac_b_s 
(-2, 1, 24), [7, 1, 6], 3.9.ac_b_y 
(-2, 1, 27), [7, 1, 0], 3.9.ac_b_bb 
(-2, 2, -18), [7, 2, 0], 3.9.ac_c_as 
(-2, 2, -12), [7, 2, 6], 3.9.ac_c_am 
(-2, 2, 0), [7, 2, 0], 3.9.ac_c_a 
(-2, 2, 6), [7, 2, 6], 3.9.ac_c_g 
(-2, 2, 18), [7, 2, 0], 3.9.ac_c_s 
(-2, 4, -30), [7, 4, 6], 3.9.ac_e_abe 
(-2, 4, -24), [7, 4, 3], 3.9.ac_e_ay 
(-2, 4, -18), [7, 4, 0], 3.9.ac_e_as 
(-2, 4, -6), [7, 4, 3], 3.9.ac_e_ag 
(-2, 4, 0), [7, 4, 0], 3.9.ac_e_a 
(-2, 4, 6), [7, 4, 6], 3.9.ac_e_g 
(-2, 4, 18), [7, 4, 0], 3.9.ac_e_s 
(-2, 5, -42), [7, 5, 3], 3.9.ac_f_abq 
(-2, 5, -30), [7, 5, 6], 3.9.ac_f_abe 
(-2, 5, -27), [7, 5, 0], 3.9.ac_f_abb 
(-2, 5, -24), [7, 5, 3], 3.9.ac_f_ay 
(-2, 5, -18), [7, 5, 0], 3.9.ac_f_as 
(-2, 5, -15), [7, 5, 3], 3.9.ac_f_ap 
(-2, 5, -12), [7, 5, 6], 3.9.ac_f_am 
(-2, 5, -9), [7, 5, 0], 3.9.ac_f_aj 
(-2, 5, -6), [7, 5, 3], 3.9.ac_f_ag 
(-2, 5, -3), [7, 5, 6], 3.9.ac_f_ad 
(-2, 5, 0), [7, 5, 0], 3.9.ac_f_a 
(-2, 5, 9), [7, 5, 0], 3.9.ac_f_j 
(-2, 5, 18), [7, 5, 0], 3.9.ac_f_s 
(-2, 7, -48), [7, 7, 6], 3.9.ac_h_abw 
(-2, 7, -42), [7, 7, 3], 3.9.ac_h_abq 
(-2, 7, -39), [7, 7, 6], 3.9.ac_h_abn 
(-2, 7, -33), [7, 7, 3], 3.9.ac_h_abh 
(-2, 7, -30), [7, 7, 6], 3.9.ac_h_abe 
(-2, 7, -27), [7, 7, 0], 3.9.ac_h_abb 
(-2, 7, -24), [7, 7, 3], 3.9.ac_h_ay 
(-2, 7, -21), [7, 7, 6], 3.9.ac_h_av 
(-2, 7, -18), [7, 7, 0], 3.9.ac_h_as 
(-2, 7, -12), [7, 7, 6], 3.9.ac_h_am 
(-2, 7, -9), [7, 7, 0], 3.9.ac_h_aj 
(-2, 7, 0), [7, 7, 0], 3.9.ac_h_a 
(-2, 7, 6), [7, 7, 6], 3.9.ac_h_g 
(-2, 7, 9), [7, 7, 0], 3.9.ac_h_j 
(-2, 8, -54), [7, 8, 0], 3.9.ac_i_acc 
(-2, 8, -42), [7, 8, 3], 3.9.ac_i_abq 
(-2, 8, -30), [7, 8, 6], 3.9.ac_i_abe 
(-2, 8, -24), [7, 8, 3], 3.9.ac_i_ay 
(-2, 8, -18), [7, 8, 0], 3.9.ac_i_as 
(-2, 8, -12), [7, 8, 6], 3.9.ac_i_am 
(-2, 8, -6), [7, 8, 3], 3.9.ac_i_ag 
(-2, 8, 0), [7, 8, 0], 3.9.ac_i_a 
(-2, 10, -48), [7, 1, 6], 3.9.ac_k_abw 
(-2, 10, -30), [7, 1, 6], 3.9.ac_k_abe 
(-2, 10, -6), [7, 1, 3], 3.9.ac_k_ag 
(-2, 11, -51), [7, 2, 3], 3.9.ac_l_abz 
(-2, 11, -48), [7, 2, 6], 3.9.ac_l_abw 
(-2, 11, -45), [7, 2, 0], 3.9.ac_l_abt 
(-2, 11, -42), [7, 2, 3], 3.9.ac_l_abq 
