(4, 7, 12), [0, 3, 0], 3.8.e_h_m 
(4, 7, 16), [0, 3, 0], 3.8.e_h_q 
(4, 7, 20), [0, 3, 0], 3.8.e_h_u 
(4, 9, 8), [0, 1, 0], 3.8.e_j_i 
(4, 9, 12), [0, 1, 0], 3.8.e_j_m 
(4, 9, 16), [0, 1, 0], 3.8.e_j_q 
(4, 9, 28), [0, 1, 0], 3.8.e_j_bc 
(4, 11, 20), [0, 3, 0], 3.8.e_l_u 
(4, 11, 28), [0, 3, 0], 3.8.e_l_bc 
(4, 11, 32), [0, 3, 0], 3.8.e_l_bg 
(4, 11, 36), [0, 3, 0], 3.8.e_l_bk 
(4, 13, 24), [0, 1, 0], 3.8.e_n_y 
(4, 13, 28), [0, 1, 0], 3.8.e_n_bc 
(4, 13, 32), [0, 1, 0], 3.8.e_n_bg 
(4, 13, 36), [0, 1, 0], 3.8.e_n_bk 
(4, 13, 40), [0, 1, 0], 3.8.e_n_bo 
(4, 13, 48), [0, 1, 0], 3.8.e_n_bw 
(4, 13, 52), [0, 1, 0], 3.8.e_n_ca 
(4, 15, 32), [0, 3, 0], 3.8.e_p_bg 
(4, 15, 36), [0, 3, 0], 3.8.e_p_bk 
(4, 15, 40), [0, 3, 0], 3.8.e_p_bo 
(4, 15, 48), [0, 3, 0], 3.8.e_p_bw 
(4, 15, 60), [0, 3, 0], 3.8.e_p_ci 
(4, 17, 40), [0, 1, 0], 3.8.e_r_bo 
(4, 17, 44), [0, 1, 0], 3.8.e_r_bs 
(4, 17, 52), [0, 1, 0], 3.8.e_r_ca 
(4, 17, 56), [0, 1, 0], 3.8.e_r_ce 
(4, 17, 60), [0, 1, 0], 3.8.e_r_ci 
(4, 19, 48), [0, 3, 0], 3.8.e_t_bw 
(4, 19, 52), [0, 3, 0], 3.8.e_t_ca 
(4, 19, 60), [0, 3, 0], 3.8.e_t_ci 
(4, 21, 48), [0, 1, 0], 3.8.e_v_bw 
(4, 21, 60), [0, 1, 0], 3.8.e_v_ci 
(4, 23, 56), [0, 3, 0], 3.8.e_x_ce 
(6, 11, 8), [2, 3, 0], 3.8.g_l_i 
(6, 17, 40), [2, 1, 0], 3.8.g_r_bo 
(6, 17, 44), [2, 1, 0], 3.8.g_r_bs 
(6, 19, 48), [2, 3, 0], 3.8.g_t_bw 
(6, 19, 52), [2, 3, 0], 3.8.g_t_ca 
(6, 21, 64), [2, 1, 0], 3.8.g_v_cm 
(6, 21, 68), [2, 1, 0], 3.8.g_v_cq 
(6, 23, 64), [2, 3, 0], 3.8.g_x_cm 
(6, 23, 68), [2, 3, 0], 3.8.g_x_cq 
